URN;Name;Street;Locality;Address;Town;County;Postcode;Number
20040;Acorn's Children's Centre;Vigo Road;;;Andover;Hampshire;SP10 1JZ;01264-336718
20071;All Seasons and Seedlings Children's Centre;Priestlands Road;Pennington;Lymington;New Forest;Hampshire;SO41 8HX;01425-612113
20145;Aviary Children's Centre;Blackbird Road;Nightingale Avenue;;Eastleigh;Hampshire;SO50 9JW;02380-684990
20254;Bunnies Children's Centre;Hatchwarren Community Centre;Longcross Lane;Hatch Warren;Basingstoke;Hampshire;RG22 4XF;01264-735437
20320;Badgers and Home Tree Children's Centre;Bishops Green Community Ct;Beech Road;Bishops Green;Basingstoke;Hampshire;RG20 4AD;01256-357028
20323;Little Petals Children's Centre;Bishops Waltham Library;Bank Street;;Bishops Waltham;Hampshire;SO32 1AN;07949-036682
20370;Hop-a-Long Children's Centre;Botley Primary School;52 High Street;Botley;Eastleigh;Hampshire;SO30 2EA;07792-821550
20399;Branches Children's Centre;Horndean Technology College;Barton Cross;Horndean;;Hampshire;PO8 9PQ;02392-240077
20466;Sovereign and Strawberry Meadow Children's Centre;Brookfield Community School;Brook Lane;Sarisbury Green;Fareham;Hampshire;SO31 7DU;01329-841097
20521;Bushy Leaze Children's Centre;Eastbrooke Road;Alton;;East Hampshire;Hampshire;GU34 2DR;01420-87675
20525;Buttercups and Bunnies Children's Centre;Manor Field Infs School;Haydn Road;Brighton Hill;Basingstoke;Hampshire;RG22 4DH;01256-331574
20527;Butterflies Children's Centre;Manor Infant School;Fernhill Road;"Cove; Farnborough";Rushmoor;Hampshire;GU14 9DX;01252-511556
20537;Cadland and Forest First Children's Centre;Whitefield Road;Holbury;;New Forest;Hampshire;SO45 2HW;02380-890877
20620;Chamberlayne Children's Centre;Chamberlayne Road;;;Eastleigh;Hampshire;SO50 5JL;02380-684990
20622;Caterpillar Hill Children's Centre;Chandlers Ford Library;Oakmount Road;Chandlers Ford;Eastleigh;Hampshire;SO53 2LH;02380-684990
20640;Chase Children's Centre;Budds Lane;Bordon;;East Hampshire;Hampshire;GU35 0JB;01730-269663
20707;Lily Pads and The Courtyard Children's Centre;Chineham Library;Unit E;"Chineham Shopping Centre; Chineham";Basingstoke;Hampshire;RG24 8BQ;01256-357028
20873;Crookhorn Lane Children's Centre;Crookhorn Lane;Purbrook;Waterlooville;Havant;Hampshire;PO7 5QL;02392-264701
20942;Happy Valley Children's Centre;Denmead Infant School;Hambledon Road;Denmead;Winchester;Hampshire;PO7 6PN;07872-503923
21093;"Turners Wood; Fleet Fireflies and Wild Rose Children's Centre";Elvetham Heath Primary School;The Key;Elvetham Heath;Fleet;Hampshire;GU51 1DP;01252-813756
21184;Fleet Fireflies Children's Centre;Fleet Library;236 Fleet Road;;Fleet;Hampshire;GU51 4BX;01252-616909
21198;Forest First Children's Centre;Heather Road;Blackfield;;Southampton;Hampshire;SO45 1DZ;02380-894425
21222;Water Lilies Children's Centre;Frogmore Infant School;Green Lane;Camberley;Hart;Hampshire;GU17 0NY;01252-879254
21392;Little Saplings and Wisteria Children's Centre;Oakwood Infant School;Church Lane;;Hartley Wintney;Hampshire;RG27 8DZ;01252-813756
21395;Haselbridge Children's Centre;Haselworth Primary School;Stone Lane;;Gosport;Hampshire;PO12 1SQ;02392-513777
21409;Haven Children's Centre;Harris Road;;;Gosport;Hampshire;PO13 0UY;01329-232095
21431;Heath Children's Centre;Readon Close;;;Petersfield;Hampshire;GU32 3JL;01730-269663
21508;Hillside Children's Centre;The Crossover Centre;71 Station Road;;Liss;Hampshire;GU33 7AD;01730-269663
21545;Honeycomb Children's Centre;Chiltern Way;;;Basingstoke;Hampshire;RG22 5BB;01256-331574
21643;Keepsake Children's Centre;Portchester Community Centre;Westlands Grove;Portchester;Fareham;Hampshire;PO16 9AD;01329-841097
21679;Reign and Shine Children's Centre;Kings Worthy Primary School;Church Lane;Kings Worthy;Winchester;Hampshire;SO23 7QS;01962-889083
21745;Lanterns Nursery School and Children's Centre;Bereweeke Road;Winchester;;Winchester;Hampshire;SO22 6AJ;01962-893602
21796;Link's Children's Centre;Linnet Close;;Wecock Farm;Cowplain;Hampshire;PO8 9UY;02392-240077
21804;Little Coppice Children's Centre;Botley Road;Fair Oak;;Eastleigh;Hampshire;SO50 7AN;02380-602799
21821;Little Oaks and Sunshine Children's Centre;Romsey Primary School Site;Mercer Way;Romsey;Test Valley;Hampshire;SO51 7PH;01264-336718
21831;Little Waves Children's Centre;St Vincents College Campus;Mill Lane;;Gosport;Hampshire;PO12 4QA;02392-523075
21880;The Courtyard Children's Centre;Lychpit Community Centre;Off Great Binfields Road;Lychpit;Basingstoke;Hampshire;RG24 8TF;
21920;Maple Vue Children's Centre;Belle Vue Infant School;Belle Vue Road;Aldershot;Rushmoor;Hampshire;GU12 4RZ;01252-519920
21963;Wisteria Children's Centre;Bridewell Building;The Bury;"Odiham; Hook";Odiham;Hampshire;RG29 1NB;01252-810904
21989;Merryfields Children's Centre;Neville Lovett School Site;St Anne Grove;;Fareham;Hampshire;PO14 1JJ;01329-841097
21990;"Little Petals; Merry-Go-Round and Happy Valley Children's Centre";Wickham Primary School;Buddens Road;Wickham;Winchester;Hampshire;PO17 5HU;02392-269695
